q		ま
w		る
e		ゃ
r		ん
t		が
y		く
u		す
i		の
o		で
p		あ
a		な
s		ゅ
d		う
f		ょ
g		か
h		と
j		っ
k		い
l		し
;		は
z		お
x		た
c		ら
v		に
b		つ
n		て
m		き
,		さ
.		こ
/		ー

っj	っ	っ
っq	ぢ
っw	び
っt	り
っo	み
っp	ち
っa	ぎ
っk	ひ
っz	じ
っv	え
っ/	ぴ

まe	ぢゃ
るe	びゃ
んe	わ
がe	りゃ
くe	ぐ
すe	を
のe	れ
でe	みゃ
あe	ちゃ
なe	ぎゃ
ゅe	む
ょe	め
かe	よ
とe	や
いe	ひゃ
しe	しゃ
はe	ぱ
おe	じゃ
にe	にゃ
てe	ぷ
きe	きゃ
さe	ぺ
こe	ぽ
ーe	ぴゃ

まs	ぢゅ
るs	びゅ
ゃs	ぬ
がs	りゅ
くs	ぞ
すs	ど
のs	ぜ
でs	みゅ
あs	ちゅ
なs	ぎゅ
うs	げ
ょs	ゆ
かs	ざ
とs	ご
いs	ひゅ
しs	しゅ
はs	ば
おs	じゅ
にs	にゅ
つs	だ
てs	ぶ
きs	きゅ
さs	べ
こs	ぼ
ーs	ぴゅ

まf	ぢょ
るf	びょ
ゃf	ね
がf	りょ
くf	そ
すf	ず
のf	せ
でf	みょ
あf	ちょ
なf	ぎょ
ゅf	ろ
うf	け
とf	も
いf	ひょ
しf	しょ
はf	づ
おf	じょ
にf	にょ
てf	ふ
きf	きょ
さf	へ
こf	ほ
ーf	ぴょ

Q	ま
W	る
E	ゃ
R	ん
T	が
Y	く
U	す
I	の
O	で
P	ぁ
A	な
S	ゅ
D	ぅ
F	ょ
G	か
H	と
J	っ
K	ぃ
L	し
:	は
Z	ぉ
X	た
C	ら
V	ぇ
B	つ
N	て
M	き
<	、
>	。
?	・
